pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1kB,37888.0,0.0,37888,37888,37888,[37888]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/16kB,46080.0,0.0,46080,46080,46080,[46080]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/256kB,58880.0,0.0,58880,58880,58880,[58880]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1MB,71680.0,0.0,71680,71680,71680,[71680]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/4MB,115712.0,0.0,115712,115712,115712,[115712]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/64MB,501760.0,0.0,501760,501760,501760,[501760]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1kB,50176.0,0.0,50176,50176,50176,[50176]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/16kB,55296.0,0.0,55296,55296,55296,[55296]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/256kB,68608.0,0.0,68608,68608,68608,[68608]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1MB,91136.0,0.0,91136,91136,91136,[91136]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/4MB,140288.0,0.0,140288,140288,140288,[140288]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/64MB,982528.0,0.0,982528,982528,982528,[982528]
