import time: self [us] | cumulative | imported package
import time:     19388 |     120464 |                         numpy._core.shape_base
import time:     11014 |      11014 |                         numpy._core._ufunc_config
import time:     34783 |      34783 |                         numpy._core._asarray
import time:     16141 |      16141 |                         numpy._core.arrayprint
import time:     10802 |     193202 |                       numpy._core.numeric
import time:     10558 |     203759 |                     numpy._core.einsumfunc
import time:     13382 |      13382 |                     numpy._core.function_base
import time:     34123 |      34123 |                     numpy._core.getlimits
import time:     12430 |      12430 |                     numpy._core.memmap
import time:      6990 |       6990 |                     numpy._core.records
import time:     32329 |      32329 |                     numpy._core._add_newdocs
import time:     13391 |      13391 |                     numpy._core._add_newdocs_scalars
import time:     15397 |      15397 |                     numpy._core._dtype_ctypes
import time:     97628 |      97628 |                         _ctypes
import time:     15591 |      15591 |                         ctypes._endian
import time:     25256 |     138474 |                       ctypes
import time:     18024 |     156498 |                     numpy._core._internal
import time:      8534 |       8534 |                     numpy._pytesttester
import time:     21177 |    1723333 |                   numpy._core
import time:        33 |    1723366 |                 numpy._core._multiarray_umath
import time:     10201 |    1733566 |               numpy.__config__
import time:     17171 |      17171 |                                 numpy._typing._nbit_base
import time:     14113 |      14113 |                                 numpy._typing._nested_sequence
import time:     26752 |      26752 |                                 numpy._typing._shape
import time:     16537 |      74571 |                               numpy._typing._array_like
import time:     15179 |      15179 |                               numpy._typing._char_codes
import time:     11055 |      11055 |                               numpy._typing._dtype_like
import time:     13205 |      13205 |                               numpy._typing._nbit
import time:      8469 |       8469 |                               numpy._typing._scalars
import time:     19962 |      19962 |                               numpy._typing._ufunc
import time:     10238 |     152676 |                             numpy._typing
import time:     16940 |      16940 |                               numpy.lib._stride_tricks_impl
import time:      9835 |      26775 |                             numpy.lib._twodim_base_impl
import time:     13207 |      13207 |                               numpy.lib._array_utils_impl
import time:     15090 |      28297 |                             numpy.lib.array_utils
import time:      2716 |       2716 |                             numpy.linalg._umath_linalg
import time:     61796 |     272258 |                           numpy.linalg._linalg
import time:     14558 |     286815 |                         numpy.linalg
import time:      6559 |     293374 |                       numpy.matrixlib.defmatrix
import time:     11117 |     304490 |                     numpy.matrixlib
import time:      9546 |       9546 |                       numpy.lib._histograms_impl
import time:     36763 |      46308 |                     numpy.lib._function_base_impl
import time:     16596 |     367392 |                   numpy.lib._index_tricks_impl
import time:     15247 |     382639 |                 numpy.lib._arraypad_impl
import time:     12140 |      12140 |                 numpy.lib._arraysetops_impl
import time:     20457 |      20457 |                 numpy.lib._arrayterator_impl
import time:     10107 |      10107 |                 numpy.lib._nanfunctions_impl
import time:       169 |        169 |                           _wmi
import time:     13881 |      14050 |                         platform
import time:     63781 |      77831 |                       numpy.lib._utils_impl
import time:     11735 |      89566 |                     numpy.lib._format_impl
import time:     13953 |     103518 |                   numpy.lib.format
import time:     20202 |      20202 |                   numpy.lib._datasource
import time:     54182 |      54182 |                   numpy.lib._iotools
import time:     91744 |     269644 |                 numpy.lib._npyio_impl
import time:     15692 |      15692 |                     numpy.lib._ufunclike_impl
import time:     28252 |      43944 |                   numpy.lib._type_check_impl
import time:     23725 |      67668 |                 numpy.lib._polynomial_impl
import time:     22591 |      22591 |                 numpy.lib._shape_base_impl
import time:     18818 |      18818 |                 numpy.lib._version
import time:     21011 |      21011 |                 numpy.lib.introspect
import time:     10656 |      10656 |                 numpy.lib.mixins
import time:     11828 |      11828 |                 numpy.lib.npyio
import time:     11901 |      11901 |                   numpy.lib._scimath_impl
import time:     11862 |      23763 |                 numpy.lib.scimath
import time:      4556 |       4556 |                 numpy.lib.stride_tricks
import time:      2806 |     878678 |               numpy.lib
import time:      6780 |       6780 |               numpy._array_api_info
import time:     71124 |    2825226 |             numpy
import time:     27785 |      27785 |             matplotlib._c_internal_utils
import time:     12450 |    2944365 |           matplotlib.cbook
import time:     10224 |      10224 |           matplotlib._docstring
import time:     16749 |      16749 |               matplotlib.backends.registry
import time:     11583 |      28331 |             matplotlib.backends
import time:     20488 |      20488 |                 binascii
import time:     17557 |      38045 |               base64
import time:     19788 |      19788 |                 PIL._version
import time:     28238 |      48026 |               PIL
import time:      6960 |       6960 |                 PIL.ExifTags
import time:     12205 |      12205 |                 PIL.ImageMode
import time:      9932 |       9932 |                 PIL.TiffTags
import time:     15128 |      15128 |                 PIL._binary
import time:     11965 |      11965 |                 PIL._deprecate
import time:      8661 |       8661 |                 PIL._util
import time:       178 |        178 |                 defusedxml
import time:    351390 |     351390 |                 PIL._imaging
import time:     16282 |     432698 |               PIL.Image
import time:     52026 |      52026 |                     _decimal
import time:     25801 |      77826 |                   decimal
import time:     37498 |     115324 |                 fractions
import time:     13547 |      13547 |                 PIL.ImageChops
import time:      6796 |       6796 |                 PIL.ImageFile
import time:      2708 |       2708 |                   array
import time:     33559 |      33559 |                   PIL.GimpGradientFile
import time:     12554 |      12554 |                   PIL.GimpPaletteFile
import time:     11182 |      11182 |                   PIL.ImageColor
import time:     45352 |      45352 |                   PIL.PaletteFile
import time:     54590 |     159942 |                 PIL.ImagePalette
import time:     37306 |      37306 |                 PIL.ImageSequence
import time:     12882 |     345794 |               PIL.PngImagePlugin
import time:     10877 |      10877 |               matplotlib._cm
import time:     15145 |      15145 |                     matplotlib._path
import time:     14873 |      14873 |                       matplotlib.bezier
import time:     16038 |      30911 |                     matplotlib.path
import time:     13424 |      59479 |                   matplotlib.transforms
import time:     31000 |      90479 |                 matplotlib.ticker
import time:      6233 |      96711 |               matplotlib.scale
import time:     41191 |      41191 |               matplotlib._image
import time:     14331 |      14331 |               matplotlib._color_data
import time:     10977 |    1038646 |             matplotlib.colors
import time:     13503 |      13503 |                 pyparsing.warnings
import time:     23609 |      23609 |                 pyparsing.util
import time:     21034 |      21034 |                   pyparsing.unicode
import time:     13900 |      34933 |                 pyparsing.exceptions
import time:     14852 |      14852 |                   pyparsing.results
import time:     13228 |      28079 |                 pyparsing.actions
import time:     44983 |      44983 |                 pyparsing.core
import time:     10187 |      10187 |                       html.entities
import time:     11518 |      21704 |                     html
import time:        25 |      21729 |                   html.entities
import time:     14294 |      36023 |                 pyparsing.helpers
import time:      8312 |       8312 |                       unittest.util
import time:     25616 |      33928 |                     unittest.result
import time:     19161 |      19161 |                           _heapq
import time:     15443 |      34604 |                         heapq
import time:     18591 |      53194 |                       difflib
import time:      8548 |      61742 |                     unittest.case
import time:      6221 |       6221 |                     unittest.suite
import time:      9808 |       9808 |                     unittest.loader
import time:      8308 |       8308 |                         gettext
import time:      9068 |      17376 |                       argparse
import time:     10431 |      10431 |                         unittest.signals
import time:     34302 |      44733 |                       unittest.runner
import time:     14121 |      76228 |                     unittest.main
import time:     13432 |     201356 |                   unittest
import time:      1948 |     203303 |                 pyparsing.testing
import time:     13699 |      13699 |                 pyparsing.common
import time:     10612 |      10612 |                     importlib.resources.abc
import time:     15710 |      26322 |                   importlib.resources._common
import time:      9836 |       9836 |                   importlib.resources._functional
import time:     21527 |      57685 |                 importlib.resources
import time:     15624 |     471438 |               pyparsing
import time:     17340 |     488778 |             matplotlib._fontconfig_pattern
import time:     14377 |      14377 |             matplotlib._enums
import time:      6902 |       6902 |             cycler
