,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,865.3095455,9.823390202717928,857.943302,887.96965,8,0.039993,0.0022460595773487395,0.035275,0.042365,8,0.10348774999999999,0.01260780730323618,0.09056,0.121952,8,0.001376,0.00010325004323762492,0.001344,0.001664,8,0.006576,0.0002097944572330602,0.006272,0.006784,8,0.022025,0.0015698529048471836,0.01951975,0.02481025,8,0.0080425,0.0001490297040142384,0.0078405,0.00827,8,3298295.808,0.0,3298295.808,3298295.808,8
bcast,ring,420.483401,9.165964272984255,412.238341,431.125323,8,0.036655,0.010530604039112448,0.02488,0.053955,8,0.08706375,0.04022565347150773,0.02984,0.1411675,8,0.001376,0.0,0.001376,0.001376,8,0.001936,0.00025852327886340473,0.001696,0.002432,8,0.232435125,0.45643967950523123,0.02188025,1.29603125,8,0.007781,0.0009245930282330405,0.00605,0.00875,8,524.288,970.792736939103,524.288,2621.44,8
reduce,bine,829.4472229999999,10.853691434603409,819.620802,841.683595,8,0.041495000000000004,0.0022160136738473817,0.0368295,0.042411,8,0.048016,0.0358301269564355,0.03296,0.119072,8,0.001376,0.00012913780015383352,0.001344,0.001664,8,0.006576,0.0002351510153071851,0.00624,0.006784,8,0.0244175,0.005912005100002482,0.02010175,0.0376405,8,0.007907500000000001,0.0003383883810484213,0.00744,0.00855,8,3298295.808,0.0,3298295.808,3298295.808,8
reduce,ring,432.45808250000005,5.742875101072175,431.28412,448.203524,8,0.028898,0.008660618078147523,0.02386,0.045635,8,0.0881035,0.03295045831108749,0.028464,0.1314075,8,0.001376,0.00013836597434753546,0.001376,0.001696,8,0.0019039999999999999,0.0001988512994317973,0.001696,0.002239,8,0.108942625,0.3226352939639774,0.029185,0.9834255,8,0.0068175,0.0010767989515888545,0.005925,0.008405,8,524.288,970.792736939103,524.288,2621.44,8
