nccl_init_ns,nccl_op_ns,gpu_kernel_ns,gpu_kernel_name,gpu_memcpy_ns,gpu_memset_ns,gpu_mem_bytes,network_wait_ns,cuda_api_total_ns,collective,algo,rank
887969650.0,39045.0,90560.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,6272.0,3298295.808,19519.75,8025.0,bcast,bine,0
857943302.0,39525.0,92543.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6784.0,3298295.808,20955.0,8160.0,bcast,bine,1
857991113.0,41550.5,96688.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6784.0,3298295.808,22932.5,8270.0,bcast,bine,2
857944313.0,42365.0,92528.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6464.0,3298295.808,22112.5,8060.0,bcast,bine,3
865308396.0,38030.0,115231.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6400.0,3298295.808,24810.25,7960.0,bcast,bine,4
865337476.0,35275.0,121952.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,6752.0,3298295.808,22897.5,7840.5,bcast,bine,5
865310695.0,40885.5,115359.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,6688.0,3298295.808,21937.5,8250.0,bcast,bine,6
865348644.0,40461.0,110287.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6368.0,3298295.808,21330.0,7980.0,bcast,bine,7
431125323.0,24880.0,29840.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1952.0,524.288,439288.25,6050.0,bcast,ring,0
428723352.0,31630.0,141167.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2208.0,2621.44,33417.75,7350.0,bcast,ring,1
