,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,2208.3126715,28.64316762389233,2166.419284,2261.338398,32,0.05795325,0.0032392698941781026,0.05132,0.0624755,32,0.7649582500000001,0.03447078664435729,0.7052625,0.83542,32,0.001408,0.00018817425006386175,0.001344,0.001856,32,0.009104000000000001,0.0011708771457000005,0.006688,0.00976,32,0.02671925,0.009493177162088378,0.021135,0.0591305,32,0.009295000000000001,0.0006999390634478993,0.0083,0.011275,32,5050990.592,875753.0573881854,3298295.808,5497683.968,32
bcast,ring,707.8235155,13.236870794593653,683.107736,722.288826,32,0.03750475,0.009458588495668533,0.029985,0.05666,32,1.046115,0.5269102989308742,0.099552,1.8563055,32,0.001376,0.00030507434148194956,0.001344,0.002144,32,0.0025440000000000003,8.483456386288818e-05,0.002432,0.002752,32,0.45398125,1.641108368963158,0.019135,6.29200025,32,0.008029999999999999,0.0009395518737878744,0.00736,0.010755,32,9961.472,0.0,9961.472,9961.472,32
reduce,bine,2052.2192965,18.891625423087074,2017.161378,2061.252721,32,0.05820525,0.0035791380894999968,0.0506905,0.0651105,32,0.15755125,0.24257399194481746,0.091599,1.005746,32,0.001376,0.0001784000578619897,0.001344,0.001888,32,0.009152,0.00122034910228656,0.006592,0.009759,32,0.024969875,0.008282840751746215,0.02015775,0.05293675,32,0.009229999999999999,0.0007211281021201011,0.00821,0.011395,32,5050990.592,875753.0573881854,3298295.808,5497683.968,32
reduce,ring,621.5909405,14.847222175731288,596.230836,648.462908,32,0.03765,0.009191164423712029,0.0287705,0.056155,32,0.82675875,0.46705180530942964,0.073312,1.6031385,32,0.001376,0.00023019767101761795,0.001344,0.00208,32,0.002528,8.38554824414234e-05,0.002432,0.002752,32,0.318119375,1.1886868275793387,0.0190425,5.25580975,32,0.0081475,0.0007260735648490317,0.0075,0.009971,32,9961.472,0.0,9961.472,9961.472,32
