nccl_init_ns,nccl_op_ns,gpu_kernel_ns,gpu_kernel_name,gpu_memcpy_ns,gpu_memset_ns,gpu_mem_bytes,network_wait_ns,cuda_api_total_ns,collective,algo,rank
2261338398.0,51475.0,737409.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6784.0,3298295.808,59130.5,9390.0,bcast,bine,0
2258953257.0,56575.0,707194.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9472.0,5050990.592,24050.0,9350.0,bcast,bine,1
2258943003.0,58725.5,713759.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1856.0,9472.0,5050990.592,24455.0,9240.0,bcast,bine,2
2258941856.0,57956.0,705262.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,6976.0,3298295.808,36397.25,10270.0,bcast,bine,3
2215583303.0,60430.0,742622.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,8672.0,5050990.592,40225.0,8620.0,bcast,bine,4
2215581250.0,54690.5,752908.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9568.0,5497683.968,23009.5,10540.0,bcast,bine,5
2216757512.0,57950.5,796223.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1728.0,9600.0,5497683.968,27852.5,8510.0,bcast,bine,6
2215714180.0,59285.0,786525.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,8640.0,5050990.592,21587.5,8300.0,bcast,bine,7
2209677044.0,58715.0,749437.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,8608.0,5050990.592,49365.0,10030.0,bcast,bine,8
2209695194.0,58535.0,759005.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1440.0,9504.0,5050990.592,21135.0,9411.0,bcast,bine,9
2209668924.0,61019.5,747615.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1856.0,9728.0,5050990.592,23369.5,8960.0,bcast,bine,10
2209683113.0,61150.0,739293.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,7232.0,3298295.808,24319.5,8900.0,bcast,bine,11
2206939331.0,56405.0,781151.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,7136.0,3298295.808,38905.25,9000.0,bcast,bine,12
2206947361.0,51460.5,790637.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9504.0,5050990.592,28275.25,10140.0,bcast,bine,13
2206805160.0,57645.5,825233.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1856.0,9536.0,5050990.592,26320.5,11275.0,bcast,bine,14
2206956419.0,56885.5,816656.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,6880.0,3298295.808,25175.0,9810.0,bcast,bine,15
2166419284.0,52299.5,777179.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6688.0,3298295.808,32575.0,8680.0,bcast,bine,16
2166437492.0,52819.5,787710.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9376.0,5050990.592,23085.0,9190.0,bcast,bine,17
2166421529.0,57709.5,794448.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1856.0,9408.0,5050990.592,23625.0,9640.0,bcast,bine,18
2166432804.0,56655.0,785741.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,7136.0,3298295.808,25807.5,9520.0,bcast,bine,19
2224571043.0,60570.5,824778.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,8800.0,5050990.592,30805.5,10130.0,bcast,bine,20
2224602485.0,51320.0,835420.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9760.0,5497683.968,27253.25,9751.0,bcast,bine,21
2224574405.0,58350.0,789835.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,9664.0,5497683.968,23227.5,8930.0,bcast,bine,22
2224597485.0,62195.0,780667.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,8832.0,5050990.592,30875.0,8909.0,bcast,bine,23
2204340279.0,57730.5,739471.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,8480.0,5050990.592,30440.0,10570.0,bcast,bine,24
2206188867.0,58665.5,748044.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9632.0,5050990.592,21202.5,9955.0,bcast,bine,25
2204337367.0,61865.0,738700.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1856.0,9696.0,5050990.592,34000.0,8590.0,bcast,bine,26
2204742972.0,62475.5,732638.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,6976.0,3298295.808,30435.0,9010.0,bcast,bine,27
2167630067.0,57980.0,770911.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6976.0,3298295.808,54800.25,8710.0,bcast,bine,28
2167658807.0,52290.0,780689.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1632.0,9568.0,5050990.592,23709.5,9050.0,bcast,bine,29
2167627755.0,60240.5,738989.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1632.0,9568.0,5050990.592,23955.25,9160.0,bcast,bine,30
2167642676.0,57630.0,732878.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1440.0,6784.0,3298295.808,27118.0,10020.0,bcast,bine,31
722288826.0,31575.0,99552.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2464.0,9961.472,1189993.0,7560.0,bcast,ring,0
719784858.0,41890.5,1856305.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2752.0,9961.472,19135.0,7871.0,bcast,ring,1
719798688.0,56370.5,1821788.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,2496.0,9961.472,31485.5,10530.0,bcast,ring,2
719771818.0,35825.0,152591.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),2080.0,2560.0,9961.472,3223077.0,7680.0,bcast,ring,3
707556335.0,31605.0,351791.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,2528.0,9961.472,1662309.5,7740.0,bcast,ring,4
707562963.0,41384.5,302830.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2496.0,9961.472,38315.0,7360.0,bcast,ring,5
707549213.0,56660.0,420815.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1728.0,2560.0,9961.472,35015.0,8700.0,bcast,ring,6
707567843.0,34805.0,389087.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1888.0,2464.0,9961.472,3786703.5,7950.0,bcast,ring,7
702449664.0,30164.5,576926.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2560.0,9961.472,2140953.0,7905.0,bcast,ring,8
702436993.0,39415.0,533581.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2560.0,9961.472,33615.0,7810.0,bcast,ring,9
702446254.0,54464.5,649455.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),2048.0,2560.0,9961.472,35997.0,10755.0,bcast,ring,10
702438753.0,32924.5,618621.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),2080.0,2528.0,9961.472,6292000.25,8000.0,bcast,ring,11
716957899.0,29985.0,790752.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2432.0,9961.472,974341.0,8040.0,bcast,ring,12
716962479.0,40260.5,746300.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2464.0,9961.472,31355.0,8990.0,bcast,ring,13
716955427.0,54650.5,865520.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),2048.0,2528.0,9961.472,33467.5,10371.0,bcast,ring,14
716962678.0,33870.5,831872.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),2048.0,2528.0,9961.472,5052767.0,8190.0,bcast,ring,15
684115235.0,30970.0,1023065.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2560.0,9961.472,1393688.0,8020.0,bcast,ring,16
684624565.0,39184.5,980925.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,2528.0,9961.472,57797.0,7780.0,bcast,ring,17
684398316.0,53019.5,1097617.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,2560.0,9961.472,27637.5,10440.0,bcast,ring,18
684436856.0,32199.5,1069164.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,2752.0,9961.472,1547017.5,7460.5,bcast,ring,19
