nccl_init_ns,nccl_op_ns,gpu_kernel_ns,gpu_kernel_name,gpu_memcpy_ns,gpu_memset_ns,gpu_mem_bytes,network_wait_ns,cuda_api_total_ns,collective,algo,rank
2270930961.0,56970.0,5064644.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6816.0,3298295.808,27305.5,9595.0,bcast,bine,0
2268356196.0,57415.0,4604395.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9472.0,5050990.592,18055.0,9280.0,bcast,bine,1
2268338470.0,61125.5,4641971.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1728.0,9408.0,5050990.592,19555.0,9060.0,bcast,bine,2
2268357296.0,58300.5,4616588.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,7008.0,3298295.808,29600.0,8720.0,bcast,bine,3
2244237974.0,59050.0,5753086.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,8736.0,5050990.592,32630.0,8920.0,bcast,bine,4
2244225133.0,53160.5,5774233.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,9600.0,5497683.968,20470.0,10720.0,bcast,bine,5
2244253592.0,58790.0,5896647.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1824.0,9568.0,5497683.968,31315.0,8890.0,bcast,bine,6
2244243124.0,62960.0,5872787.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1472.0,8768.0,5050990.592,23837.75,8570.0,bcast,bine,7
2250268117.0,64420.5,5802299.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,8864.0,5050990.592,29400.5,9200.0,bcast,bine,8
2250281238.0,59925.5,5817747.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1632.0,9600.0,5050990.592,21947.5,11970.0,bcast,bine,9
2250264901.0,65175.5,5798863.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1824.0,9600.0,5050990.592,15585.0,9680.0,bcast,bine,10
2250272060.0,63880.0,5780360.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,7264.0,3298295.808,18777.5,8910.0,bcast,bine,11
2217778534.0,60505.0,5867116.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,7040.0,3298295.808,30430.0,9500.0,bcast,bine,12
2217784211.0,50785.0,5889833.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9504.0,5050990.592,29912.5,10570.0,bcast,bine,13
2217775661.0,57805.5,5963253.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1824.0,9600.0,5050990.592,20335.0,9820.0,bcast,bine,14
2217767725.0,60435.5,5943364.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,6816.0,3298295.808,25740.0,9800.0,bcast,bine,15
2207850817.0,53600.0,5848108.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6720.0,3298295.808,37120.0,10331.0,bcast,bine,16
2207848228.0,57555.0,5857157.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9408.0,5050990.592,22000.0,9120.0,bcast,bine,17
2207853929.0,58645.5,5880183.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1728.0,9568.0,5050990.592,19765.0,10355.0,bcast,bine,18
2207841467.0,59724.5,5859220.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,6976.0,3298295.808,25530.0,9490.0,bcast,bine,19
2240938951.0,62585.0,5949500.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,8832.0,5050990.592,31910.25,8735.0,bcast,bine,20
2240974283.0,55415.0,5969933.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9664.0,5497683.968,20610.5,9145.0,bcast,bine,21
2240934594.0,59171.0,5965913.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,9568.0,5497683.968,24282.5,9440.0,bcast,bine,22
2240966279.0,63965.0,5946975.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,8864.0,5050990.592,22880.0,9370.0,bcast,bine,23
2254793265.0,63984.5,5847241.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,8736.0,5050990.592,30502.25,9020.0,bcast,bine,24
