,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,2242.5997079999997,18.702181259126757,2207.841467,2270.930961,32,0.059825,0.0036167109740632137,0.050785,0.0651755,32,5.85263275,0.39220846061385833,4.6043955,5.969933,32,0.001552,0.00018800137267858507,0.001376,0.001888,32,0.009136,0.0011704997554119157,0.00672,0.009728,32,0.024247499999999998,0.006935624101866873,0.015585,0.0523175,32,0.009492500000000001,0.0007603691696758545,0.00856,0.01197,32,5050990.592,875753.0573881854,3298295.808,5497683.968,32
bcast,ring,842.5092635000001,24.14673694909284,827.306133,907.577062,32,0.03859725,0.009193732839710637,0.029695,0.05657,32,3.4599089999999997,0.9414597362771627,1.285837,4.486189,32,0.001376,0.0002900500512981587,0.001344,0.00208,32,0.002512,8.084712774438025e-05,0.0024,0.002752,32,1.534370125,3.288813256187914,0.021245,11.39647775,32,0.00863,0.001223427215741804,0.007429,0.011775,32,9961.472,0.0,9961.472,9961.472,32
reduce,bine,2190.8626034999998,10.315574638275807,2188.107947,2218.709708,32,0.06085775,0.002975903178799117,0.05263,0.0670305,32,2.0067395,2.842277047346853,0.731982,10.714489,32,0.001376,0.00018825377518383999,0.001344,0.001856,32,0.009136,0.001167130627743845,0.006688,0.009696,32,0.02343375,0.00983681754753323,0.013785,0.0528,32,0.009725000000000001,0.0009776012682414742,0.00794,0.0121405,32,5050990.592,875753.0573881854,3298295.808,5497683.968,32
reduce,ring,972.8461580000001,12.187372408491651,946.062482,991.04729,32,0.03857075,0.009223354529738624,0.0296,0.057235,32,3.4167125,0.8931997340627758,1.1681435,4.348743,32,0.001376,0.000309612036108459,0.001344,0.00208,32,0.002512,7.65110154413793e-05,0.0024,0.002752,32,2.47235425,3.6691299159237665,0.0172195,11.635122,32,0.0084525,0.0012084587965894558,0.0076145,0.011575,32,9961.472,0.0,9961.472,9961.472,32
