pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1kB,150528.0,0.0,150528,150528,150528,[150528]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/16kB,189440.0,0.0,189440,189440,189440,[189440]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/256kB,270848.0,0.0,270848,270848,270848,[270848]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1MB,540672.0,0.0,540672,540672,540672,[540672]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/4MB,952832.0,0.0,952832,952832,952832,[952832]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/64MB,3437056.0,0.0,3437056,3437056,3437056,[3437056]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1kB,104959.0,0.0,104959,104959,104959,[104959]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/16kB,118784.0,0.0,118784,118784,118784,[118784]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/256kB,185344.0,0.0,185344,185344,185344,[185344]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1MB,321536.0,0.0,321536,321536,321536,[321536]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/4MB,549888.0,0.0,549888,549888,549888,[549888]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/64MB,4434944.0,0.0,4434944,4434944,4434944,[4434944]
