,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,2282.21395,9.556771190642017,2263.335808,2291.89176,32,0.0567825,0.003340798253639715,0.049691,0.0623355,32,0.54199075,0.023825603708883078,0.5068305,0.590225,32,0.001408,0.00017769273951802122,0.001376,0.001888,32,0.00912,0.0011456811468827529,0.006592,0.009536,32,0.031643500000000005,0.010074030668957824,0.02045,0.0747855,32,0.00912,0.0005246316641840407,0.00818,0.01039,32,5050990.592,875753.0573881854,3298295.808,5497683.968,32
bcast,ring,666.0298115,14.483679623306008,648.152044,696.796243,32,0.036043000000000006,0.009726956656536261,0.0283305,0.0572305,32,0.5879015,0.31484350824519813,0.042992,1.064839,32,0.001376,0.0002641729009050334,0.001344,0.002144,32,0.002528,8.808207316419862e-05,0.0024,0.002752,32,0.6197265,1.329690012079098,0.0169825,6.0194745,32,0.00806,0.0008831162422801611,0.00726,0.0108755,32,9961.472,0.0,9961.472,9961.472,32
reduce,bine,1863.5019455000001,7.363379108756186,1856.990844,1883.06515,32,0.05535825,0.0032031151054528525,0.0481005,0.06196,32,0.091352,0.1394599988719947,0.056736,0.591857,32,0.001408,0.00016585107972262733,0.001376,0.001888,32,0.009087999999999999,0.0011348503951423901,0.006624,0.009568,32,0.024382374999999998,0.006623935427381442,0.0186925,0.04292225,32,0.009155,0.0006677011021742875,0.00816,0.010816,32,5050990.592,875753.0573881854,3298295.808,5497683.968,32
reduce,ring,570.138353,11.26300949652753,560.171307,599.081619,32,0.03576,0.009734862241961089,0.027045,0.0552,32,0.47811925,0.25279607767816276,0.036688,0.8897935,32,0.001376,0.00025022312623581736,0.001344,0.002144,32,0.002528,9.351073769635294e-05,0.0024,0.002752,32,0.247218625,0.9774700587890776,0.0296375,3.73730575,32,0.008135,0.0008425715432196535,0.00709,0.01042,32,9961.472,0.0,9961.472,9961.472,32
