nccl_init_ns,nccl_op_ns,gpu_kernel_ns,gpu_kernel_name,gpu_memcpy_ns,gpu_memset_ns,gpu_mem_bytes,network_wait_ns,cuda_api_total_ns,collective,algo,rank
2291891760.0,51115.5,514401.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6592.0,3298295.808,44430.5,8820.0,bcast,bine,0
2286299992.0,55065.0,508844.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9408.0,5050990.592,24662.25,10390.0,bcast,bine,1
2286281499.0,59075.0,510095.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1888.0,9408.0,5050990.592,24730.0,8840.0,bcast,bine,2
2286289363.0,56830.0,506830.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1728.0,7104.0,3298295.808,20450.0,9240.0,bcast,bine,3
2263423207.0,58735.0,526686.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,8768.0,5050990.592,38250.0,9360.0,bcast,bine,4
2263406397.0,52515.0,533421.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,9472.0,5497683.968,26600.0,9430.0,bcast,bine,5
2263425580.0,59410.0,566719.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,9472.0,5497683.968,34742.5,9551.0,bcast,bine,6
2263407038.0,58315.0,561598.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1632.0,8768.0,5050990.592,37090.0,8800.0,bcast,bine,7
2279605092.0,58040.0,529550.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,8864.0,5050990.592,44730.0,8240.0,bcast,bine,8
2279623984.0,57655.0,535886.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9472.0,5050990.592,22900.0,9180.0,bcast,bine,9
2279609651.0,61035.0,530431.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,9536.0,5050990.592,31182.25,9171.0,bcast,bine,10
2279623471.0,60705.0,526110.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,7136.0,3298295.808,30120.0,8390.0,bcast,bine,11
2263343177.0,56420.0,555551.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6976.0,3298295.808,36015.5,9580.0,bcast,bine,12
