pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1kB,522239.0,0.0,522239,522239,522239,[522239]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/16kB,664064.0,0.0,664064,664064,664064,[664064]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/256kB,878080.0,0.0,878080,878080,878080,[878080]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1MB,1752576.0,0.0,1752576,1752576,1752576,[1752576]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/4MB,2945536.0,0.0,2945536,2945536,2945536,[2945536]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/64MB,5834240.0,0.0,5834240,5834240,5834240,[5834240]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1kB,165376.0,0.0,165376,165376,165376,[165376]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/16kB,197120.0,0.0,197120,197120,197120,[197120]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/256kB,297984.0,0.0,297984,297984,297984,[297984]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1MB,618496.0,0.0,618496,618496,618496,[618496]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/4MB,1164799.0,0.0,1164799,1164799,1164799,[1164799]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/64MB,13509632.0,0.0,13509632,13509632,13509632,[13509632]
