,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1374.4756565,9.750663148184989,1369.034671,1395.968265,16,0.047833,0.002554883519849781,0.04144,0.05099,16,0.270335,0.021733552778959858,0.2401435,0.3067675,16,0.001408,0.00013850246688537117,0.001376,0.001728,16,0.008,0.0013967909158138165,0.006432,0.00944,16,0.02852775,0.005423396638806985,0.01910275,0.0398655,16,0.00889,0.0004077346972399251,0.00841,0.00973,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
bcast,ring,548.513736,16.893847962834254,521.506187,569.112316,16,0.034682500000000005,0.010391861720436173,0.028175,0.057055,16,0.326567,0.1576626319644787,0.042976,0.534428,16,0.001376,0.00018026351082050225,0.001376,0.002016,16,0.00192,0.00037372931380880473,0.001856,0.002752,16,0.14919174999999998,0.680686256995088,0.024825,1.97148175,16,0.007895,0.0007345183959291515,0.0068095,0.009369,16,2097.152,1406.8123293448919,2097.152,5242.88,16
reduce,bine,1207.807132,9.18767095703373,1204.289111,1228.393474,16,0.047222749999999994,0.0025141408000547605,0.0416455,0.0521155,16,0.07474375,0.08197604501008714,0.046944,0.3069125,16,0.0016,0.00012692885146149135,0.001376,0.001728,16,0.007904,0.0014010921454351245,0.006464,0.009408,16,0.025480125,0.01019744473956129,0.014585,0.050605,16,0.00933,0.0004744485395347603,0.00878,0.01048,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
reduce,ring,555.1626125,5.3034464337859335,552.796491,575.389314,16,0.03449275,0.010540182779684926,0.027405,0.05684,16,0.263735,0.12689121349668978,0.036848,0.454481,16,0.001376,0.00017522252518821125,0.001376,0.001888,16,0.00192,0.00038131841462658655,0.001888,0.002816,16,0.201812875,0.7762631449378663,0.0216875,3.01152425,16,0.00797,0.0006776766182762492,0.0071105,0.009545,16,2097.152,1406.8123293448919,2097.152,5242.88,16
