,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,3443.8016305,18.583331500153324,3411.543913,3513.078211,128,0.073548,0.003001574799878576,0.06336,0.08097,128,8.823089249999999,0.40175340284501804,6.61545,9.116168,128,0.001376,0.00020521571121008404,0.001344,0.00208,128,0.009376,0.00041982430679134646,0.0088,0.009984,128,0.058208750000000004,0.020573058223728413,0.0351925,0.2288285,128,0.00919,0.0008619086017981931,0.00834,0.014625,128,5274337.28,224224.28151036988,5050990.592,5497683.968,128
bcast,ring,1512.149883,13.163630653566305,1495.694996,1554.204209,128,0.0456975,0.00977537922623552,0.0360845,0.069135,128,15.77085,8.088765324337595,1.003598,26.4385325,128,0.001376,0.00028842826862450965,0.001344,0.00208,128,0.002496,2.7111535765336408e-05,0.002432,0.002528,128,4.6652059999999995,11.811555104001986,0.033405,50.118239,128,0.00884,0.0011734000493423499,0.0074,0.01199,128,40894.464,11623.685587556309,14155.776,40894.464,128
reduce,bine,3728.5460535,18.713307793896988,3706.471057,3782.556677,128,0.07504775,0.003022192750373121,0.0659855,0.081661,128,1.9895312500000002,5.046243528973555,0.731457,28.507701,128,0.001376,0.00019514468688359838,0.001344,0.00208,128,0.0093915,0.00042264326386929956,0.008864,0.009952,128,0.04155125,0.013420446552706624,0.0286075,0.11363575,128,0.009319999999999998,0.0009000752040976888,0.00814,0.012699,128,5274337.28,224224.28151036988,5050990.592,5497683.968,128
reduce,ring,1203.3279205,14.865763890110845,1181.787673,1251.841559,128,0.0437005,0.009312914467960566,0.033295,0.0669355,128,7.89397825,2.7145385762887337,1.188096,10.0188535,128,0.001376,0.00025985307011601867,0.001312,0.002176,128,0.002496,2.6206929419645852e-05,0.002432,0.002528,128,5.180837875,6.76937311132195,0.0340725,43.55885975,128,0.00859,0.001048275763675827,0.007309,0.012285,128,40894.464,11623.685587556309,14155.776,40894.464,128
