,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1473.6540344999999,1.190847701048586,1473.631412,1476.027975,4,0.022982500000000003,0.00026903562341568603,0.0226,0.023225,4,0.038792,0.002867450435491431,0.035824,0.042736,4,0.001376,1.6000000000000064e-05,0.001344,0.001376,4,0.001984,4.8e-05,0.00192,0.002016,4,0.0404925,0.012182941456020934,0.03368725,0.06010925,4,0.006035,0.000770681516581266,0.005665,0.007405,4,1048.576,0.0,1048.576,1048.576,4
bcast,ring,694.0790155,1.2112182138300152,694.052485,696.492438,4,0.023614999999999997,0.0008756213389169227,0.0230345,0.025085,4,0.024992,0.006671221681908543,0.015584,0.0305435,4,0.001376,1.5999999999999992e-05,0.001344,0.001376,4,0.001792,0.0,0.001792,0.001792,4,0.031803625,0.004202159020347951,0.027025,0.03648,4,0.0061200000000000004,0.000766141577429829,0.005625,0.00741,4,1048.576,0.0,1048.576,1048.576,4
reduce,bine,1324.1332145000001,1.2206449230067502,1324.099828,1326.562663,4,0.02328975,0.0002478038118485408,0.022955,0.02349,4,0.030080000000000003,0.00820261161663365,0.024384,0.040848,4,0.001376,0.0,0.001376,0.001376,4,0.001856,7.999999999999997e-05,0.001856,0.002016,4,0.029462375,0.011765983757035931,0.02468475,0.050845,4,0.0061905,0.0009757101260107943,0.00567,0.00777,4,1048.576,0.0,1048.576,1048.576,4
reduce,ring,763.028701,1.1967245053835704,762.984239,765.406472,4,0.021935,0.0007526121178934068,0.02137,0.02311,4,0.0216,0.006123765290516394,0.013952,0.027616,4,0.00136,1.847520861406815e-05,0.001344,0.001376,4,0.001792,1.5999999999999955e-05,0.00176,0.001792,4,0.032667249999999995,0.010118495821133285,0.026958,0.05015725,4,0.00614,0.000142448821218944,0.0059,0.00623,4,1048.576,0.0,1048.576,1048.576,4
