,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1390.629841,15.378326590051241,1377.901132,1413.068266,8,0.04914,0.002774949792821228,0.0433205,0.05127,8,3.2488115,0.1918916160417193,3.1104755,3.7096105,8,0.001376,0.00011726404880805176,0.001344,0.001696,8,0.006592000000000001,0.0001760519403877325,0.006304,0.006752,8,0.02510875,0.009810529955047482,0.022475,0.051415,8,0.0082905,0.000497961684555865,0.00789,0.00924,8,3298295.808,0.0,3298295.808,3298295.808,8
bcast,ring,1159.4751025,5.952307542952232,1154.326936,1167.458458,8,0.03743225,0.009722288071194234,0.030755,0.0546355,8,2.052505,0.3848843091711306,1.285934,2.363712,8,0.001376,1.481312159636089e-05,0.001344,0.001376,8,0.001728,0.00030015614983823713,0.001696,0.002464,8,1.694911375,3.059787093711876,0.01948,7.945315,8,0.0079825,0.0008528979171875475,0.00721,0.00981,8,524.288,970.792736939103,524.288,2621.44,8
reduce,bine,1203.9285,6.627471303673047,1198.149599,1212.546461,8,0.0490055,0.0024790948052810383,0.0441055,0.0505205,8,2.0403682499999998,1.7958597579953957,0.80176,4.825295,8,0.001376,0.0,0.001376,0.001376,8,0.006544,0.00019647173551720596,0.006304,0.006752,8,0.02810525,0.008705997753947621,0.01994275,0.0492725,8,0.0087355,0.001059055778916834,0.00793,0.011275,8,3298295.808,0.0,3298295.808,3298295.808,8
reduce,ring,875.83455,8.35536097197441,868.410564,885.816155,8,0.038710499999999995,0.009934466064944593,0.03128,0.056891,8,2.02933575,0.4462073252576284,1.160653,2.415928,8,0.001376,1.1313708498984738e-05,0.001376,0.001408,8,0.001712,0.0002904971108781831,0.001696,0.002432,8,0.9654895,2.9005656867584095,0.0259055,5.9776905,8,0.008414999999999999,0.0006832367817967645,0.0078,0.01001,8,524.288,970.792736939103,524.288,2621.44,8
