,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1701.481696,26.93059562390081,1682.498321,1751.805982,16,0.0555275,0.003730498802662543,0.048005,0.059484,16,4.40733525,0.1475278723372264,4.184643,4.800271,16,0.001584,0.00014225610707452947,0.001376,0.001728,16,0.00792,0.001404138644626425,0.006496,0.009408,16,0.02624,0.007976201979675097,0.01782275,0.0544825,16,0.009655,0.0006072697060065924,0.00867,0.01049,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
bcast,ring,859.00452,7.700075839914789,854.416424,874.465322,16,0.03827975,0.009877913183746099,0.0298245,0.058025,16,2.564898,0.6802717003976056,1.2866075,3.353282,16,0.001376,8.403174003513985e-05,0.001344,0.001696,16,0.001888,0.0003079324601272169,0.001856,0.002752,16,1.0368709999999999,2.6209198578149415,0.0275975,5.8400325,16,0.00853,0.0008675630270992325,0.00752,0.0102,16,2097.152,1406.8123293448919,2097.152,5242.88,16
reduce,bine,1576.2524465000001,17.106458628947095,1563.739387,1604.501105,16,0.05394275,0.0028836509757597228,0.047995,0.058895,16,2.0095145,2.300995998765339,0.7798365,7.47443,16,0.001472,0.00016441897700691363,0.001376,0.001888,16,0.008048,0.0014011225975386072,0.006496,0.009472,16,0.02436125,0.006185450595281368,0.01733525,0.0389475,16,0.00969,0.0007257879855715442,0.00838,0.01081,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
reduce,ring,818.5448225,12.44730762295839,814.290807,845.772262,16,0.039060250000000005,0.010076390290963988,0.02974,0.05725,16,2.40944075,0.6111070847336414,1.17336,3.191423,16,0.001376,0.0001934941859591652,0.001344,0.00192,16,0.001888,0.00031101382605922847,0.001856,0.002784,16,1.022078,3.459275657291162,0.0251805,10.3301745,16,0.0082375,0.0011746247516937766,0.00733,0.011165,16,2097.152,1406.8123293448919,2097.152,5242.88,16
