,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1296.0249115,24.539846366488874,1273.37349,1321.055554,8,0.035365,0.0014801749881469123,0.0324805,0.036395,8,0.058488,0.008499555368360242,0.046368,0.06872,8,0.001376,0.00015370472620301193,0.001376,0.001728,8,0.006512,0.00021597883494189237,0.006272,0.006816,8,0.02569275,0.0066689265914997515,0.0230355,0.04334775,8,0.0077525,0.000343297760957702,0.00734,0.00837,8,3298295.808,0.0,3298295.808,3298295.808,8
bcast,ring,496.516984,2.7597829451678404,495.037548,502.513603,8,0.02644525,0.0036387235006641694,0.0228,0.03131,8,0.047224,0.021190597160061345,0.015424,0.076832,8,0.001424,0.000143872959834114,0.001344,0.001696,8,0.001936,0.00019558556768257287,0.001696,0.002208,8,0.1466905,0.2876843894070045,0.0266575,0.73040725,8,0.007645,0.001097844883575479,0.00564,0.00862,8,524.288,970.792736939103,524.288,2621.44,8
reduce,bine,865.4438124999999,9.461380126964901,859.011327,883.569658,8,0.03723775,0.0014490713636547653,0.0351855,0.03949,8,0.032912,0.017624244942159934,0.025104,0.067952,8,0.001376,0.00013331809436724733,0.001376,0.001664,8,0.00648,0.00018056419515349273,0.006304,0.006784,8,0.022148750000000002,0.0029883897987521167,0.02044775,0.02802,8,0.008015000000000001,0.0001869907250373665,0.00764,0.00816,8,3298295.808,0.0,3298295.808,3298295.808,8
reduce,ring,484.0263585,6.485217819294135,472.938667,489.057235,8,0.02459275,0.0029524549349409456,0.023215,0.030205,8,0.0446,0.021008556380058746,0.014304,0.073488,8,0.001376,2.418972627259054e-05,0.001344,0.001408,8,0.00192,0.0001968436653068332,0.001696,0.00224,8,0.0804105,0.3397163975895595,0.01574225,0.9911205,8,0.00787,0.0007103617664864252,0.00667,0.00906,8,524.288,970.792736939103,524.288,2621.44,8
