nccl_init_ns,nccl_op_ns,gpu_kernel_ns,gpu_kernel_name,gpu_memcpy_ns,gpu_memset_ns,gpu_mem_bytes,network_wait_ns,cuda_api_total_ns,collective,algo,rank
1484094822.0,40795.0,56640.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6496.0,3298295.808,30335.25,8220.0,bcast,bine,0
1481677234.0,39850.0,60447.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9184.0,5050990.592,26922.5,8650.0,bcast,bine,1
1481693826.0,35335.0,65712.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,9280.0,5050990.592,23480.5,8791.0,bcast,bine,2
1482422037.0,39715.0,60624.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1600.0,6624.0,3298295.808,29605.0,8320.0,bcast,bine,3
1463186148.0,40680.0,74960.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6592.0,3298295.808,26215.5,8670.0,bcast,bine,4
1463200997.0,36450.0,80431.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,9376.0,5050990.592,29145.0,8410.0,bcast,bine,5
1463218855.0,35945.0,99632.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,9440.0,5050990.592,25800.0,8600.0,bcast,bine,6
1463188937.0,38595.0,94272.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1600.0,6496.0,3298295.808,22575.0,7920.0,bcast,bine,7
1469257292.0,40820.5,77136.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6432.0,3298295.808,51355.0,8230.0,bcast,bine,8
1469240906.0,35645.5,81439.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9216.0,5050990.592,24482.5,8840.0,bcast,bine,9
1469228461.0,34875.0,78304.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,9184.0,5050990.592,30420.0,8650.0,bcast,bine,10
1469237855.0,38380.0,73295.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6592.0,3298295.808,23655.0,8140.0,bcast,bine,11
1462842587.0,38320.5,88512.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6656.0,3298295.808,43675.0,8290.0,bcast,bine,12
1462835933.0,36795.0,94096.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9344.0,5050990.592,36680.0,8410.0,bcast,bine,13
1462843486.0,35020.0,75872.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1600.0,9376.0,5050990.592,30560.0,8670.0,bcast,bine,14
1462884662.0,39100.0,70560.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1600.0,6432.0,3298295.808,39925.0,8570.0,bcast,bine,15
510002509.0,38779.5,16256.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1952.0,2097.152,255436.0,7610.0,bcast,ring,0
507589394.0,46805.0,144159.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1568.0,2816.0,5242.88,34167.5,7840.0,bcast,ring,1
507539504.0,58480.5,27360.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1600.0,2112.0,2097.152,27840.5,8780.0,bcast,ring,2
507549843.0,39355.0,20320.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,1888.0,2097.152,823500.0,7630.0,bcast,ring,3
497360895.0,25325.0,63488.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1984.0,2097.152,1149097.0,6610.0,bcast,ring,4
497371403.0,33116.0,55424.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2784.0,5242.88,24259.75,7720.0,bcast,ring,5
497369083.0,29085.5,74527.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1920.0,2097.152,30745.0,7911.0,bcast,ring,6
497364304.0,25790.5,68608.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1888.0,2097.152,1182157.0,7280.0,bcast,ring,7
495903976.0,23430.0,98608.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1568.0,1920.0,2097.152,621386.0,7420.0,bcast,ring,8
495908987.0,62900.5,76736.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2784.0,5242.88,18200.0,8490.0,bcast,ring,9
495897277.0,45445.0,96415.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1920.0,2097.152,18172.5,8211.0,bcast,ring,10
495917657.0,23329.5,104367.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1568.0,1856.0,2097.152,1992085.0,6960.0,bcast,ring,11
486455781.0,25960.0,130080.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1952.0,2097.152,1060321.0,6700.0,bcast,ring,12
486445591.0,33920.0,122016.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2816.0,5242.88,20477.75,7920.0,bcast,ring,13
486448501.0,29495.0,140207.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1568.0,1920.0,2097.152,18895.0,8580.0,bcast,ring,14
486436300.0,26450.0,134976.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,1920.0,2097.152,1531663.25,7090.0,bcast,ring,15
1276416128.0,39370.0,93008.5,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6464.0,3298295.808,22845.0,8200.0,reduce,bine,0
1259803865.0,35135.0,25824.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9120.0,5050990.592,25317.5,8280.0,reduce,bine,1
1259783864.0,35625.0,26416.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1600.0,9280.0,5050990.592,29687.5,8360.0,reduce,bine,2
1259790624.0,37529.5,65248.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6752.0,3298295.808,25175.0,8710.0,reduce,bine,3
1261071815.0,35820.5,43072.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6624.0,3298295.808,16985.0,8150.0,reduce,bine,4
1261098842.0,38540.0,26096.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,9376.0,5050990.592,24030.0,8140.0,reduce,bine,5
1261064096.0,33680.5,26384.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,9504.0,5050990.592,24080.0,8660.0,reduce,bine,6
1261090545.0,37710.5,42048.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6624.0,3298295.808,22935.0,8220.0,reduce,bine,7
1258886255.0,37256.0,63087.5,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6496.0,3298295.808,21615.0,8330.0,reduce,bine,8
1258897577.0,36535.0,25952.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1632.0,9280.0,5050990.592,25987.5,8570.0,reduce,bine,9
1258884026.0,36795.5,26592.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,9248.0,5050990.592,32725.5,8670.0,reduce,bine,10
