,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1466.223658,8.217064071347933,1462.835933,1484.094822,16,0.03835025,0.002165146655685246,0.034875,0.0408205,16,0.07650399999999999,0.01268411996618869,0.05664,0.099632,16,0.001392,0.00013519763311537665,0.001376,0.001696,16,0.00792,0.0014280750680548974,0.006432,0.00944,16,0.029375,0.008098069840101174,0.022575,0.051355,16,0.008490000000000001,0.0002587190802782045,0.00792,0.00884,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
bcast,ring,496.639276,7.97657801564457,486.4363,510.002509,16,0.0313055,0.012331847176957447,0.0233295,0.0629005,16,0.08657575,0.04253828135445325,0.016256,0.144159,16,0.001376,0.00011200000000000001,0.001376,0.001696,16,0.001936,0.0003904349711112808,0.001856,0.002816,16,0.14480175,0.655325933329936,0.0181725,1.992085,16,0.0076749999999999995,0.0006481768277252742,0.00661,0.00878,16,2097.152,1406.8123293448919,2097.152,5242.88,16
reduce,bine,1259.3407204999999,5.5549419111358125,1253.050398,1276.416128,16,0.03684275,0.0015599308074265136,0.0336805,0.03937,16,0.034272000000000004,0.021356029447963675,0.025824,0.0930085,16,0.001376,0.0001342475325657794,0.001376,0.001696,16,0.007936,0.0014291263531729214,0.006464,0.009504,16,0.0239575,0.0056839955114301715,0.016985,0.040605,16,0.008395,0.00022208383364546514,0.00814,0.00886,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
reduce,ring,518.0493225,7.953145910408949,509.454261,535.686692,16,0.026845,0.002701477574094098,0.0246605,0.0324155,16,0.07749600000000001,0.03916713579557697,0.014144,0.1387845,16,0.001376,9.411482348705757e-05,0.001344,0.0016,16,0.00192,0.00038745115821223197,0.001856,0.002784,16,0.18769025,0.7411194084548456,0.02708275,2.7637165,16,0.0077350000000000006,0.0006898135708291045,0.006665,0.00889,16,2097.152,1406.8123293448919,2097.152,5242.88,16
