nccl_init_ns,nccl_op_ns,gpu_kernel_ns,gpu_kernel_name,gpu_memcpy_ns,gpu_memset_ns,gpu_mem_bytes,network_wait_ns,cuda_api_total_ns,collective,algo,rank
907403502.0,38004.5,48335.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6336.0,3298295.808,29345.0,8310.0,bcast,bine,0
904944660.0,35970.0,52128.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,6720.0,3298295.808,17917.75,8350.0,bcast,bine,1
904970230.0,36635.0,57328.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,7008.0,3298295.808,23040.5,8680.0,bcast,bine,2
904952079.0,38230.0,51360.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6432.0,3298295.808,33719.75,8180.0,bcast,bine,3
886150578.0,36545.0,70543.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6304.0,3298295.808,23350.5,7565.0,bcast,bine,4
886157126.0,33695.0,75903.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,6752.0,3298295.808,25805.0,7620.0,bcast,bine,5
886159866.0,33445.5,73808.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6720.0,3298295.808,21360.0,7636.0,bcast,bine,6
886130346.0,38040.0,67088.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6304.0,3298295.808,25912.5,7820.0,bcast,bine,7
365528966.0,29155.0,19504.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2080.0,524.288,124147.5,7110.0,bcast,ring,0
362933965.0,29695.0,95920.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,2208.0,2621.44,47120.0,8380.0,bcast,ring,1
363085506.0,25620.0,35232.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1920.0,524.288,27380.0,8880.0,bcast,ring,2
363058065.0,24330.0,25584.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1728.0,524.288,726307.75,5835.0,bcast,ring,3
362946263.0,23405.0,64399.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1984.0,524.288,285881.75,6075.0,bcast,ring,4
362366400.0,31430.0,54816.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,2240.0,2621.44,38655.25,7080.0,bcast,ring,5
362939243.0,25849.5,78384.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1920.0,524.288,31657.5,8640.0,bcast,ring,6
362302720.0,23550.0,70559.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1728.0,524.288,304337.5,5900.0,bcast,ring,7
768624935.0,36670.0,79456.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6336.0,3298295.808,29612.5,7850.0,reduce,bine,0
766204372.0,33840.0,26208.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,6944.0,3298295.808,27670.0,8260.0,reduce,bine,1
765947022.0,35125.0,25776.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6976.0,3298295.808,24887.5,7585.0,reduce,bine,2
766013142.0,38090.0,73808.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6496.0,3298295.808,25965.0,7760.0,reduce,bine,3
756815090.0,37145.5,43663.5,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6336.0,3298295.808,31576.0,7680.0,reduce,bine,4
756842149.0,34970.0,26704.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,6656.0,3298295.808,23750.0,7770.0,reduce,bine,5
756884848.0,33450.0,25792.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1664.0,6688.0,3298295.808,23977.75,7500.5,reduce,bine,6
756893541.0,37350.5,42976.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6368.0,3298295.808,21570.0,7810.0,reduce,bine,7
472473255.0,24010.0,93408.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,1888.0,524.288,332017.5,6111.0,reduce,ring,0
469971465.0,29480.0,87631.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2208.0,2621.44,46345.0,8170.0,reduce,ring,1
469995474.0,25175.5,25664.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1472.0,1920.0,524.288,33712.5,8420.0,reduce,ring,2
470006095.0,23994.5,16656.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1696.0,524.288,562515.5,7870.0,reduce,ring,3
456111884.0,24535.0,52512.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2016.0,524.288,372074.75,6200.0,reduce,ring,4
456112754.0,31390.0,44576.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2208.0,2621.44,34492.75,7569.0,reduce,ring,5
456116415.0,25495.0,66783.5,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1984.0,524.288,27292.5,8600.0,reduce,ring,6
456117025.0,24460.0,58240.0,ncclDevKernel_Reduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,1696.0,524.288,491810.5,6090.0,reduce,ring,7
