pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1kB,84992.0,0.0,84992,84992,84992,[84992]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/16kB,102400.0,0.0,102400,102400,102400,[102400]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/256kB,149504.0,0.0,149504,149504,149504,[149504]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1MB,282624.0,0.0,282624,282624,282624,[282624]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/4MB,517120.0,0.0,517120,517120,517120,[517120]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/64MB,2426368.0,0.0,2426368,2426368,2426368,[2426368]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1kB,77824.0,0.0,77824,77824,77824,[77824]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/16kB,84992.0,0.0,84992,84992,84992,[84992]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/256kB,131583.0,0.0,131583,131583,131583,[131583]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1MB,222720.0,0.0,222720,222720,222720,[222720]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/4MB,389632.0,0.0,389632,389632,389632,[389632]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/64MB,3683839.0,0.0,3683839,3683839,3683839,[3683839]
