,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1245.2394585,8.86040924113186,1242.715383,1265.514717,16,0.0436875,0.0018766631901240742,0.04049,0.04682,16,0.1439675,0.018724969096297374,0.1186085,0.1756635,16,0.001392,0.00013269714892692055,0.001376,0.001696,16,0.007888000000000001,0.0013849122234519656,0.006496,0.009408,16,0.025914,0.007277319947228026,0.02049,0.0499195,16,0.008550499999999999,0.00019488571170047321,0.00832,0.00896,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
bcast,ring,450.0319745,7.496501472856497,446.898131,473.626288,16,0.03265,0.008785736698146984,0.0259005,0.05263,16,0.16459175,0.0733934194795135,0.0298565,0.2606215,16,0.001376,8.838702770580456e-05,0.001344,0.0016,16,0.001936,0.0003868339867867524,0.001824,0.002784,16,0.137477125,0.45245776964282314,0.0282955,1.2445685,16,0.0076950000000000005,0.0009103188818577074,0.00641,0.00962,16,2097.152,1406.8123293448919,2097.152,5242.88,16
reduce,bine,1195.5713285,11.986899015267877,1185.97551,1217.517044,16,0.049000249999999995,0.0025757419010112403,0.043375,0.0520705,16,0.048264,0.0431667678482244,0.03384,0.170336,16,0.001408,0.00014912366232984844,0.001376,0.00176,16,0.008048,0.0014009848187971205,0.0064,0.009312,16,0.02428875,0.009275040163421013,0.01665,0.04876,16,0.008765,0.0004812899334081273,0.00812,0.00977,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
reduce,ring,432.635537,6.173898730000936,425.473342,442.583091,16,0.03407275,0.00964351700750086,0.0262155,0.053615,16,0.14113550000000002,0.06248906874672827,0.029024,0.2383205,16,0.001376,0.00012364249539161958,0.001344,0.00176,16,0.001968,0.00038920363136366894,0.001856,0.002784,16,0.16631037499999998,0.5122656862492189,0.01561,1.63672975,16,0.0078025,0.0007302331562590128,0.0067,0.00922,16,2097.152,1406.8123293448919,2097.152,5242.88,16
