pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1kB,283136.0,0.0,283136,283136,283136,[283136]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/16kB,359424.0,0.0,359424,359424,359424,[359424]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/256kB,509952.0,0.0,509952,509952,509952,[509952]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1MB,1060352.0,0.0,1060352,1060352,1060352,[1060352]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/4MB,1840128.0,0.0,1840128,1840128,1840128,[1840128]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/64MB,4558336.0,0.0,4558336,4558336,4558336,[4558336]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1kB,132096.0,0.0,132096,132096,132096,[132096]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/16kB,146944.0,0.0,146944,146944,146944,[146944]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/256kB,236544.0,0.0,236544,236544,236544,[236544]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1MB,596992.0,0.0,596992,596992,596992,[596992]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/4MB,838144.0,0.0,838144,838144,838144,[838144]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/64MB,5923328.0,0.0,5923328,5923328,5923328,[5923328]
