,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1368.1032895,10.173280288556828,1365.659281,1391.698671,16,0.037544999999999995,0.0016665200768867638,0.03489,0.040565,16,0.08364774999999999,0.015241067251528843,0.060768,0.111135,16,0.001376,0.00014651143300097776,0.001376,0.001696,16,0.008016,0.001395410381691828,0.0064,0.009504,16,0.023712625,0.005709121881339509,0.0173875,0.0421005,16,0.00844,0.00022143377490045765,0.00808,0.00882,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
bcast,ring,471.4461305,6.862684968854923,456.813031,474.982042,16,0.0286575,0.0027924444428970604,0.025715,0.0339305,16,0.10108775,0.05043037513575854,0.020112,0.178334,16,0.001376,0.00017339896193460896,0.001376,0.001952,16,0.001936,0.0003773422849350441,0.001824,0.002816,16,0.116254375,0.346408123239372,0.026315,1.0745215,16,0.0075622499999999995,0.0006871361067260739,0.00668,0.00875,16,2097.152,1406.8123293448919,2097.152,5242.88,16
reduce,bine,1203.079772,8.940495488165352,1194.267524,1227.095742,16,0.03901,0.001669960408400453,0.0357705,0.042385,16,0.035872,0.02623323621062204,0.026416,0.110305,16,0.001408,0.0001389791351246654,0.001376,0.001696,16,0.007968,0.0013989771501588819,0.006368,0.009504,16,0.0241075,0.005273922965456825,0.0184775,0.03657,16,0.008692749999999999,0.0002487354602115801,0.008055,0.008909,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
reduce,ring,478.3967735,8.909320218687624,465.087657,487.718168,16,0.0278925,0.003066609831278127,0.02464,0.03326,16,0.09712775,0.04999772531692483,0.016176,0.1760965,16,0.001376,0.00017642373234157965,0.001376,0.002016,16,0.0019520000000000002,0.00038417773664455534,0.001856,0.002816,16,0.1051815,0.4924447562971381,0.02894525,1.419208,16,0.007724999999999999,0.0007912759625809024,0.0063005,0.00892,16,2097.152,1406.8123293448919,2097.152,5242.88,16
