,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,2814.3570185,27.102145011838786,2800.794783,2899.110251,64,0.06604499999999999,0.003202264464768479,0.05801,0.071555,64,7.264501,0.42619260813913423,5.5461085,7.57815,64,0.001408,0.00020178532457119268,0.001344,0.001888,64,0.009344,0.0007037510042212803,0.00688,0.009887,64,0.05380775,0.016545020785051243,0.03906,0.121503,64,0.0094395,0.0009217445249004892,0.00828,0.01285,64,5050990.592,521666.63841109705,3298295.808,5497683.968,64
bcast,ring,1047.8817869999998,15.177730256748077,1038.274842,1093.680651,64,0.041783,0.009325863628937175,0.03142,0.060885,64,4.75622325,1.3716194332699136,1.2869735,6.41727,64,0.001376,0.0002849485612170774,0.001344,0.00208,64,0.002464,4.259219691557644e-05,0.0024,0.00256,64,3.73371825,3.477047917607547,0.0349475,14.144078,64,0.008555,0.0010575868845117034,0.00748,0.01172,64,20447.232,2745.816509665151,14155.776,20447.232,64
reduce,bine,2448.5963325000002,10.357780864495531,2432.027151,2475.874015,64,0.067525,0.003238694006051104,0.05882,0.07298,64,2.004636,3.468590645502621,0.7432955,15.4303315,64,0.001376,0.00018851264114911725,0.001344,0.00192,64,0.009296,0.0006899844026805679,0.006976,0.009856,64,0.040556375,0.01568180010896951,0.02872,0.111075,64,0.0092445,0.0006632644107529282,0.00784,0.01114,64,5050990.592,521666.63841109705,3298295.808,5497683.968,64
reduce,ring,1266.0718944999999,7.864625371904896,1256.161473,1289.829407,64,0.040658,0.0091322961693868,0.03142,0.0588005,64,3.7011060000000002,1.2667665961188188,1.1676475,5.591077,64,0.001376,0.0003081867090240064,0.001344,0.002176,64,0.002464,4.4485060806080025e-05,0.0024,0.00256,64,5.34314525,3.4954561117241982,0.03496725,16.755593,64,0.0084895,0.0010550523701315677,0.00728,0.011445,64,20447.232,2745.816509665151,14155.776,20447.232,64
