pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1kB,35840.0,0.0,35840,35840,35840,[35840]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/16kB,44032.0,0.0,44032,44032,44032,[44032]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/256kB,55296.0,0.0,55296,55296,55296,[55296]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1MB,63488.0,0.0,63488,63488,63488,[63488]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/4MB,92160.0,0.0,92160,92160,92160,[92160]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/64MB,453632.0,0.0,453632,453632,453632,[453632]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1kB,50176.0,0.0,50176,50176,50176,[50176]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/16kB,55296.0,0.0,55296,55296,55296,[55296]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/256kB,62464.0,0.0,62464,62464,62464,[62464]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1MB,86016.0,0.0,86016,86016,86016,[86016]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/4MB,156672.0,0.0,156672,156672,156672,[156672]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/64MB,1525248.0,0.0,1525248,1525248,1525248,[1525248]
