pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1kB,540672.0,0.0,540672,540672,540672,[540672]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/16kB,681984.0,0.0,681984,681984,681984,[681984]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/256kB,994304.0,0.0,994304,994304,994304,[994304]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/1MB,2109952.0,0.0,2109952,2109952,2109952,[2109952]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/4MB,3625984.0,0.0,3625984,3625984,3625984,[3625984]
scaling/1kB_64MB/RING_Bcast,scaling/1kB_64MB/RING_Bcast/64MB,6312960.0,0.0,6312960,6312960,6312960,[6312960]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1kB,153600.0,0.0,153600,153600,153600,[153600]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/16kB,175104.0,0.0,175104,175104,175104,[175104]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/256kB,283136.0,0.0,283136,283136,283136,[283136]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/1MB,719872.0,0.0,719872,719872,719872,[719872]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/4MB,1031680.0,0.0,1031680,1031680,1031680,[1031680]
scaling/1kB_64MB/BINE_Bcast,scaling/1kB_64MB/BINE_Bcast/64MB,7537152.0,0.0,7537152,7537152,7537152,[7537152]
