,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,2201.4837934999996,16.740351426388642,2193.042102,2245.339814,32,0.0391875,0.002159478593110573,0.0345645,0.0435805,32,0.10497575,0.01862887744439954,0.071264,0.140656,32,0.001424,0.00017835086839728176,0.001344,0.001888,32,0.009072,0.0011693867154720804,0.006528,0.009568,32,0.02578275,0.007045560318427829,0.017975,0.04900475,32,0.008595,0.00025265569297672387,0.00783,0.00892,32,5050990.592,875753.0573881854,3298295.808,5497683.968,32
bcast,ring,695.247517,20.510852246082838,646.547619,707.043772,32,0.02942475,0.006352952682833595,0.025765,0.05184,32,0.185607,0.10045723557067336,0.019904,0.350222,32,0.001376,0.00023777028762530305,0.001344,0.00208,32,0.002528,8.917109324757517e-05,0.0024,0.002752,32,0.23253525,0.8040143580851165,0.0192655,2.46640275,32,0.00771,0.0007350723492411829,0.00696,0.0095,32,9961.472,0.0,9961.472,9961.472,32
reduce,bine,1878.525772,5.968072524969865,1873.20376,1897.381261,32,0.040194999999999995,0.001766921555707037,0.0371105,0.043925,32,0.033616,0.03081898039233509,0.02656,0.147088,32,0.001408,0.00017648028309865277,0.001376,0.001856,32,0.009104000000000001,0.0011334027823044566,0.006592,0.009536,32,0.023897625,0.006587342538345029,0.01815,0.045205,32,0.008629999999999999,0.00029273087800142254,0.00828,0.00946,32,5050990.592,875753.0573881854,3298295.808,5497683.968,32
reduce,ring,624.4455889999999,12.238792984438797,600.339287,638.059731,32,0.02861475,0.002862902242436507,0.0259,0.03446,32,0.18226325,0.09742909656807651,0.0160955,0.3410885,32,0.001376,0.0002846525896144167,0.001344,0.00208,32,0.00256,9.075933591896548e-05,0.002432,0.002752,32,0.32806075,1.0201890117972343,0.01818,3.48040425,32,0.0078715,0.000671490583575559,0.0071,0.00943,32,9961.472,0.0,9961.472,9961.472,32
