pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1kB,148480.0,0.0,148480,148480,148480,[148480]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/16kB,183296.0,0.0,183296,183296,183296,[183296]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/256kB,244736.0,0.0,244736,244736,244736,[244736]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1MB,455680.0,0.0,455680,455680,455680,[455680]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/4MB,934400.0,0.0,934400,934400,934400,[934400]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/64MB,3334656.0,0.0,3334656,3334656,3334656,[3334656]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1kB,101376.0,0.0,101376,101376,101376,[101376]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/16kB,118784.0,0.0,118784,118784,118784,[118784]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/256kB,175616.0,0.0,175616,175616,175616,[175616]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1MB,301056.0,0.0,301056,301056,301056,[301056]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/4MB,722944.0,0.0,722944,722944,722944,[722944]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/64MB,7741440.0,0.0,7741440,7741440,7741440,[7741440]
