nccl_init_ns,nccl_op_ns,gpu_kernel_ns,gpu_kernel_name,gpu_memcpy_ns,gpu_memset_ns,gpu_mem_bytes,network_wait_ns,cuda_api_total_ns,collective,algo,rank
876000173.0,43610.0,315183.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,6304.0,3298295.808,35472.5,9970.0,bcast,bine,0
873430483.0,44675.0,290639.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6784.0,3298295.808,22755.0,8640.0,bcast,bine,1
873376573.0,48414.5,306640.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6816.0,3298295.808,21957.5,8531.0,bcast,bine,2
873417543.0,47190.0,293679.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6400.0,3298295.808,19943.0,8070.0,bcast,bine,3
856007869.0,43520.0,367454.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6336.0,3298295.808,30265.0,9120.0,bcast,bine,4
855979189.0,39555.0,384718.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1696.0,6816.0,3298295.808,21455.0,8040.0,bcast,bine,5
857199317.0,45680.5,373438.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,6816.0,3298295.808,26252.5,8180.0,bcast,bine,6
855983558.0,47600.0,358718.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1408.0,6432.0,3298295.808,25593.0,8030.0,bcast,bine,7
544846499.0,29330.0,99407.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1344.0,2400.0,524.288,207027.5,7980.0,bcast,ring,0
539429374.0,40425.0,503182.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,2208.0,2621.44,32555.0,10469.0,bcast,ring,1
542318085.0,56840.0,472288.0,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1376.0,1920.0,524.288,33525.25,9510.0,bcast,ring,2
542285776.0,32330.5,151023.5,ncclDevKernel_Broadcast_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>),1760.0,1728.0,524.288,333725.0,7620.0,bcast,ring,3
