,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1455.761633,1.2355850606409216,1455.742833,1458.226376,4,0.0337455,0.00036524945813329736,0.033525,0.03436,4,0.877313,0.157848890832538,0.6065595,0.970335,4,0.001344,0.0,0.001344,0.001344,4,0.001936,4.131182235954594e-05,0.001888,0.001984,4,0.04332775,0.007839880183501959,0.03872275,0.05568775,4,0.007745,0.0003915647030398253,0.00762,0.008465,4,1048.576,0.0,1048.576,1048.576,4
bcast,ring,909.8912,1.2132573888197118,909.849387,912.303274,4,0.026277500000000002,0.0008032576900762696,0.02534,0.02728,4,0.482544,0.09913827109007484,0.284992,0.4846395,4,0.001376,1.5999999999999992e-05,0.001344,0.001376,4,0.001792,0.0,0.001792,0.001792,4,0.027907500000000002,0.014585762419365217,0.02534475,0.05595275,4,0.00656,0.0001922021505256031,0.006335,0.006795,4,1048.576,0.0,1048.576,1048.576,4
reduce,bine,1226.5979575000001,1.2852415458865416,1226.198475,1229.007521,4,0.03072525,0.00038046090469323986,0.0305705,0.031415,4,0.58558425,0.6678561366465056,0.18928,1.561055,4,0.00136,1.847520861406815e-05,0.001344,0.001376,4,0.002,4.525483399593894e-05,0.00192,0.002016,4,0.03222,0.00817052299810116,0.0277195,0.04609,4,0.0076145,0.00011975835043954128,0.0074855,0.00777,4,1048.576,0.0,1048.576,1048.576,4
reduce,ring,623.5957755,1.2309111279555847,623.586486,626.054448,4,0.028205,0.0008442847071140572,0.02669,0.0286,4,0.3781995,0.03199445168957685,0.376384,0.441552,4,0.0013605000000000002,1.8191115047370406e-05,0.001344,0.001376,4,0.001792,0.0,0.001792,0.001792,4,0.0316675,0.014668019682856533,0.027463,0.059105,4,0.0072975,0.000635745952929837,0.00606,0.00739,4,1048.576,0.0,1048.576,1048.576,4
