,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1279.4495980000002,1.39098171566312,1279.424159,1282.222961,4,0.0283195,0.0010435261037303604,0.026515,0.0288195,4,0.10955925,0.01595349254016709,0.090816,0.128288,4,0.001376,1.5999999999999992e-05,0.001344,0.001376,4,0.001936,4.525483399593902e-05,0.00192,0.002016,4,0.031736125000000004,0.0033267791942495433,0.028465,0.03513,4,0.0068000000000000005,0.00045190338200401476,0.00613,0.00719,4,1048.576,0.0,1048.576,1048.576,4
bcast,ring,643.274471,8.90594462681224,643.251434,661.078668,4,0.025079999999999998,0.0008274328144931159,0.0246055,0.026515,4,0.09775975,0.028119488095447256,0.042,0.0991515,4,0.00136,1.847520861406815e-05,0.001344,0.001376,4,0.001792,0.0,0.001792,0.001792,4,0.02862175,0.002640645686309506,0.02460025,0.0307195,4,0.006095,0.00017214335111567124,0.00595,0.00636,4,1048.576,0.0,1048.576,1048.576,4
reduce,bine,1225.6019620000002,10.163741791187725,1225.591226,1245.925861,4,0.027885,0.0006338424488782679,0.027215,0.02876,4,0.0764315,0.052240495047743696,0.0417915,0.1468635,4,0.001376,0.0,0.001376,0.001376,4,0.001936,6.661331198291623e-05,0.001856,0.002016,4,0.035603625,0.012518183584914586,0.033512,0.059865,4,0.0069125,0.00040022647234617904,0.0066145,0.007511,4,1048.576,0.0,1048.576,1048.576,4
reduce,ring,574.2749965,1.2239127419657276,574.254768,576.71589,4,0.024645,0.0009528099123994621,0.024585,0.0265295,4,0.06625575,0.009143323405405357,0.066031,0.084464,4,0.001376,0.0,0.001376,0.001376,4,0.001792,0.0,0.001792,0.001792,4,0.030399750000000003,0.004601905793504649,0.02737,0.03708225,4,0.006057750000000001,0.00032429950149000616,0.0057345,0.00633,4,1048.576,0.0,1048.576,1048.576,4
