,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,943.1608595,1.222699770216934,943.139539,945.59895,4,0.026099749999999998,0.0005118118957846405,0.025445,0.0265405,4,0.07398350000000001,0.005177926491366985,0.068896,0.081376,4,0.001376,1.6000000000000064e-05,0.001344,0.001376,4,0.00192,4.0265783654777336e-05,0.001856,0.001952,4,0.03311,0.0013970789914436994,0.03290725,0.03582475,4,0.007254999999999999,0.0008352482165999116,0.005865,0.0077,4,1048.576,0.0,1048.576,1048.576,4
bcast,ring,714.034957,1.0666218913633945,713.774999,716.028542,4,0.02389975,0.0005829880466184533,0.02333,0.024455,4,0.06221575,0.015709428169626883,0.0314555,0.064048,4,0.001344,0.0,0.001344,0.001344,4,0.001792,0.0,0.001792,0.001792,4,0.031893375,0.004274297268630833,0.03022,0.0393925,4,0.006605,0.0005541585212433955,0.00632,0.00758,4,1048.576,0.0,1048.576,1048.576,4
reduce,bine,1431.8534565,1.2015373334505102,1431.833525,1434.249806,4,0.025407,0.0004534075613249809,0.02466,0.025725,4,0.049584,0.019959804409946838,0.0351995,0.0745915,4,0.001376,0.0,0.001376,0.001376,4,0.0019039999999999999,8.812112875657763e-05,0.001824,0.002016,4,0.039263624999999996,0.004302543435646524,0.0323475,0.042435,4,0.006052500000000001,0.0009901125777741974,0.00559,0.0078,4,1048.576,0.0,1048.576,1048.576,4
reduce,ring,651.689344,1.197736093262735,651.664159,654.07616,4,0.0232975,0.0018876712008451056,0.02286,0.0268995,4,0.04502375,0.0041805018912207175,0.043152,0.052512,4,0.001376,1.5999999999999992e-05,0.001344,0.001376,4,0.001792,0.0,0.001792,0.001792,4,0.03020875,0.004919326814442364,0.0264895,0.03747225,4,0.006217500000000001,0.00034694800282847435,0.00562,0.00642,4,1048.576,0.0,1048.576,1048.576,4
