pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1kB,82432.0,0.0,82432,82432,82432,[82432]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/16kB,101888.0,0.0,101888,101888,101888,[101888]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/256kB,137216.0,0.0,137216,137216,137216,[137216]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1MB,241664.0,0.0,241664,241664,241664,[241664]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/4MB,438272.0,0.0,438272,438272,438272,[438272]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/64MB,2419712.0,0.0,2419712,2419712,2419712,[2419712]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1kB,80896.0,0.0,80896,80896,80896,[80896]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/16kB,88064.0,0.0,88064,88064,88064,[88064]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/256kB,130560.0,0.0,130560,130560,130560,[130560]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1MB,218111.0,0.0,218111,218111,218111,[218111]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/4MB,460800.0,0.0,460800,460800,460800,[460800]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/64MB,5059072.0,0.0,5059072,5059072,5059072,[5059072]
