pool,test,mean_ns,stddev_ns,min_ns,max_ns,median_ns,samples_ns
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1kB,1030656.0,0.0,1030656,1030656,1030656,[1030656]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/16kB,1311744.0,0.0,1311744,1311744,1311744,[1311744]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/256kB,1737728.0,0.0,1737728,1737728,1737728,[1737728]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/1MB,3460608.0,0.0,3460608,3460608,3460608,[3460608]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/4MB,6278144.0,0.0,6278144,6278144,6278144,[6278144]
scaling/1kB_64MB/RING_Reduce,scaling/1kB_64MB/RING_Reduce/64MB,8352768.0,0.0,8352768,8352768,8352768,[8352768]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1kB,193024.0,0.0,193024,193024,193024,[193024]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/16kB,228352.0,0.0,228352,228352,228352,[228352]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/256kB,356864.0,0.0,356864,356864,356864,[356864]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/1MB,992768.0,0.0,992768,992768,992768,[992768]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/4MB,1540096.0,0.0,1540096,1540096,1540096,[1540096]
scaling/1kB_64MB/BINE_Reduce,scaling/1kB_64MB/BINE_Reduce/64MB,15525888.0,0.0,15525888,15525888,15525888,[15525888]
