,,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_init_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,nccl_op_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_kernel_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memcpy_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,gpu_memset_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,network_wait_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,cuda_api_total_ms,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes,gpu_mem_bytes
,,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count,median,std,min,max,count
collective,algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bcast,bine,1723.1225869999998,9.105658458783482,1713.474617,1737.917985,16,0.0503575,0.002991895986800566,0.04451,0.0538155,16,0.46123899999999995,0.04894525600946726,0.3856315,0.542943,16,0.0015040000000000001,0.0001338496669152872,0.001376,0.001696,16,0.007936,0.0014311893422371943,0.006432,0.009536,16,0.025246499999999998,0.005724045817772455,0.02077525,0.04092,16,0.0088255,0.0005627533466507925,0.00819,0.010171,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
bcast,ring,808.508619,8.536766614562808,799.092146,822.785556,16,0.03609,0.009501161152667517,0.02784,0.054395,16,0.63942225,0.29246614205415405,0.099648,0.999784,16,0.001376,0.00017949261823261702,0.001376,0.001888,16,0.00192,0.00040833450339968413,0.001856,0.002816,16,0.355771125,2.004878919805814,0.0249125,7.223175,16,0.008145,0.0005633934376836494,0.00711,0.00902,16,2097.152,1406.8123293448919,2097.152,5242.88,16
reduce,bine,1341.1072960000001,17.149188685995643,1334.284847,1406.716476,16,0.052020250000000004,0.0032668569757490153,0.04525,0.0558255,16,0.13516725000000002,0.19552146342997745,0.078975,0.703681,16,0.001376,0.0001428696375488274,0.001376,0.001696,16,0.007872,0.0014111948601569287,0.0064,0.00944,16,0.024537749999999997,0.01719606507253639,0.017865,0.091635,16,0.009035000000000001,0.0005536962426878716,0.00842,0.01049,16,4174643.2,905087.6945888809,3298295.808,5050990.592,16
reduce,ring,657.726962,7.411217790191946,656.447394,675.692564,16,0.0359605,0.01034561490514822,0.02769,0.05717,16,0.47303,0.2153864331498132,0.073024,0.786753,16,0.001376,0.00016519564158899589,0.001376,0.001888,16,0.00192,0.00039373764530881904,0.001856,0.002816,16,0.7194482499999999,1.5096684603564063,0.0264125,5.17841,16,0.008375500000000001,0.0008178090623733636,0.00726,0.00985,16,2097.152,1406.8123293448919,2097.152,5242.88,16
